Название,Тип лодки,Тип Яхты,Команда,Добавить повара,Регион,Акватория,Порт,Каюты,Длина,Места для гостей,Туалет,Корпус,Лодок,Стоимость за день,Состояние,Фото
Бакштаг,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Арктика,Карское море,Диксон,3,14 м,9,1,,1,41000,3,https://searadar.com/uploads/boats/crop/1200/675/e51/00/61041-1878212-sun-odyssey-32i-carmen.jpg
Шхера,Круизная,Dehler 29,Капитан,Нет,Арктика,Карское море,Диксон,1,9 м,5,1,,1,23500,4,https://searadar.com/uploads/boats/crop/1200/675/cff/7f/55856-1852365-bavaria-38-noelle.png
Silver Lining,Круизная,Dufour 460 Grand Large,Капитан и помощник,Да,Арктика,Карское море,Диксон,4,14 м,8,3,,1,39000,4,https://searadar.com/uploads/boats/crop/1200/675/e4e/5d/59866-1854378-dufour-32-silvia.jpeg
Баклан,Круизная,Jeanneau Sun Odyssey 410,Капитан,Да,Дальний Восток,Анадырский залив,Анадырь,3,12 м,7,1,,1,32500,3,https://searadar.com/uploads/boats/crop/1200/675/723/a2/61038-1878182-sun-odyssey-32i-carmen.jpg
Tenacity,Круизная,Botnia Targa 37,Капитан и помощник,Да,Дальний Восток,Анадырский залив,Анадырь,4,12 м,7,2,,1,34500,4,https://searadar.com/uploads/boats/crop/1200/675/545/dc/50122-1792912-altair-45-nn.jpg
Drifter,Круизная,Galeon 425 HTS,Капитан и помощник,Да,Дальний Восток,Анадырский залив,Анадырь,4,13 м,7,2,,1,35000,4,https://searadar.com/uploads/boats/crop/1200/675/8f5/2c/49977-1655417-altair-zafir-42-running-on-waves.jpg
Шхуна,Круизная,Botnia Targa 32,Капитан,Нет,Дальний Восток,Анадырский залив,Анадырь,4,10 м,7,1,,1,34000,4,https://searadar.com/uploads/boats/crop/1200/675/f69/92/764-1818452-antares-30-fly-lumar-seamotion.jpg
Гейзер,Круизная,Nauticat 515,Капитан и помощник,Да,Дальний Восток,Берингово море,Провидения,3,16 м,9,1,,1,47500,4,https://searadar.com/uploads/boats/crop/1200/675/29d/0c/59102-1693839-bavaria-38-classic.jpeg
Mistral,Круизная,Дракон,Капитан и помощник,Нет,Дальний Восток,Берингово море,Провидения,2,9 м,5,Нет,,1,25000,4,https://searadar.com/uploads/boats/crop/1200/675/51e/b4/3370-1686809-bavaria-39-cruiser-af-b39ii.jpg
Leviathan,Круизная,Elan Impression 40,Капитан,Да,Дальний Восток,Берингово море,Провидения,4,12 м,8,2,,1,41000,4,https://searadar.com/uploads/boats/crop/1200/675/9f5/9c/59941-1856153-elan-344-impression-argo.jpg
Рябина,Круизная,Конрад 24,Капитан,Нет,Дальний Восток,Берингово море,Провидения,2,8 м,5,1,,1,23000,3,https://searadar.com/uploads/boats/crop/1200/675/026/94/3676-1579127-first-35-aries.jpg
Hydra,Круизная,Beneteau Oceanis 45,Капитан и помощник,Да,Дальний Восток,Командорские острова,Никольское,3,14 м,9,1,,1,48000,4,https://searadar.com/uploads/boats/crop/1200/675/30c/d5/42005-1815501-first-35-rhea.jpg
Meltemi,Круизная,Dehler 29,Капитан,Нет,Дальний Восток,Командорские острова,Никольское,3,9 м,6,Нет,,1,29000,3,https://searadar.com/uploads/boats/crop/1200/675/acc/15/3675-1586905-first-35-capricorn.jpg
Прибой,Круизная,Hanse 415,Капитан,Да,Дальний Восток,Командорские острова,Никольское,4,12 м,7,2,,1,34500,3,https://searadar.com/uploads/boats/crop/1200/675/98c/55/50907-1768156-hanse-360-leeloo.jpeg
Бейдевинд,Круизная,Полутонник,Капитан,Нет,Дальний Восток,Командорские острова,Никольское,3,10 м,6,Нет,,1,31000,4,https://searadar.com/uploads/boats/crop/1200/675/637/01/3669-1674680-first-35-gemini.jpg
Liberty,Круизная,McGregor 65,Капитан и помощник,Да,Дальний Восток,Камчатка,Усть-Камчатск,6,22 м,8,1,,1,30000,4,https://searadar.com/uploads/boats/crop/1200/675/594/6f/3674-1597417-first-35-libra.jpg
Iron Lady,Круизная,Судоход 115,Капитан и помощник,Да,Дальний Восток,Камчатка,Усть-Камчатск,8,28 м,16,2,,1,64000,5,https://searadar.com/uploads/boats/crop/1200/675/a20/7b/46176-1569112-beneteau-first-35-psyche.jpeg
Гранит,Круизная,Дракон,Капитан,Нет,Дальний Восток,Камчатка,Усть-Камчатск,3,9 м,6,Нет,,1,29000,5,https://searadar.com/uploads/boats/crop/1200/675/30c/d5/42005-1815501-first-35-rhea.jpg
Треска,Круизная,Дракон,Капитан,Нет,Дальний Восток,Камчатка,Усть-Камчатск,4,9 м,7,Нет,,1,29500,3,https://searadar.com/uploads/boats/crop/1200/675/48b/e8/3672-1560183-first-35-saggitarius.jpg
Русич,Круизная,Гидра 26,Капитан и помощник,Нет,Дальний Восток,Камчатка,Петропавловск-Камчатский,2,8 м,5,Нет,,1,21500,4,https://searadar.com/uploads/boats/crop/1200/675/000/ab/3673-1565452-first-35-scorpio.jpg
Помор,Круизная,Swan 65,Капитан и помощник,Да,Дальний Восток,Камчатка,Петропавловск-Камчатский,5,20 м,12,3,,1,56500,4,https://searadar.com/uploads/boats/crop/1200/675/034/34/4189-1579283-cyclades-434-blondie.jpg
Dauntless,Круизная,McGregor 65,Капитан и помощник,Да,Дальний Восток,Камчатка,Петропавловск-Камчатский,5,22 м,13,2,,1,66000,5,https://searadar.com/uploads/boats/crop/1200/675/522/e3/3670-1558293-first-35-taurus.jpg
Sailfish,Круизная,Конрад 24,Капитан,Нет,Дальний Восток,Камчатка,Петропавловск-Камчатский,2,8 м,4,1,,1,17500,4,https://searadar.com/uploads/boats/crop/1200/675/eb8/4f/3677-1665825-first-35-virgo.jpg
Салма,Круизная,Судоход 88,Капитан и помощник,Да,Дальний Восток,Охотское море,Магадан,5,17 м,12,3,,1,53500,4,https://searadar.com/uploads/boats/crop/1200/675/5ab/e6/45998-1805666-first-36-mana.jpeg
Сириус,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Дальний Восток,Охотское море,Магадан,4,14 м,9,2,,1,37000,3,https://searadar.com/uploads/boats/crop/1200/675/02e/3c/494-1567240-sun-odyssey-32-i-regina-iv.jpg
Луда,Круизная,Alubat Ovni 435,Капитан,Да,Дальний Восток,Охотское море,Магадан,4,13 м,7,2,,1,30500,4,https://searadar.com/uploads/boats/crop/1200/675/c3d/67/39274-1670516-first-367-roko.jpg
Blue Hour,Круизная,Beneteau First 31.7,Капитан,Нет,Дальний Восток,Охотское море,Магадан,2,10 м,5,1,,1,20000,3,https://searadar.com/uploads/boats/crop/1200/675/48b/e8/3672-1560183-first-35-saggitarius.jpg
White Squall,Круизная,Hanse 445,Капитан,Да,Дальний Восток,Шантарские острова,Чумикан,3,13 м,7,1,,1,33500,4,https://searadar.com/uploads/boats/crop/1200/675/ae9/ed/7834-1814269-hanse-385-ariel.jpg
Поморник,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Дальний Восток,Шантарские острова,Чумикан,4,14 м,8,2,,1,36500,3,https://searadar.com/uploads/boats/crop/1200/675/643/86/57718-1697581-bavaria-34-cruiserg-evi.jpg
Морошка,Круизная,Опал 3,Капитан,Нет,Дальний Восток,Шантарские острова,Чумикан,2,8 м,5,Нет,,1,22000,3,https://searadar.com/uploads/boats/crop/1200/675/70f/26/30-1539548-first-40-imagine.jpg
Зюйд,Круизная,Четвертьтонник,Капитан и помощник,Нет,Дальний Восток,Шантарские острова,Чумикан,2,8 м,5,Нет,,1,23000,4,https://searadar.com/uploads/boats/crop/1200/675/08d/a5/549-1822888-first-407-milena.jpg
Альбатрос,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Дальний Восток,Татарский пролив,Ванино,4,14 м,9,2,,1,34500,4,https://searadar.com/uploads/boats/crop/1200/675/800/c2/5256-1654579-bavaria-34-cruiser-skippy.jpg
Aquila,Круизная,Botnia Targa 32,Капитан и помощник,Нет,Дальний Восток,Татарский пролив,Ванино,1,10 м,5,Нет,,1,18500,4,https://searadar.com/uploads/boats/crop/1200/675/23e/d7/50080-1737263-antares-36-galeb.jpg
Северный ветер,Круизная,Л-6,Капитан и помощник,Нет,Дальний Восток,Татарский пролив,Ванино,4,11 м,7,Нет,,1,26500,4,https://searadar.com/uploads/boats/crop/1200/675/b03/84/5304-1619640-beneteau-first-45-xena.jpg
Вулкан,Круизная,Botnia Targa 37,Капитан,Да,Дальний Восток,Татарский пролив,Ванино,3,12 м,6,2,,1,21500,3,https://searadar.com/uploads/boats/crop/1200/675/f2b/e3/39117-1557862-antares-9-ob-arya.jpg
Сивуч,Круизная,Конрад 24,Капитан,Нет,Дальний Восток,Залив Анива,Корсаков,2,8 м,6,Нет,,1,25500,5,https://searadar.com/uploads/boats/crop/1200/675/703/37/6478-1586463-oceanis-301-carina.jpg
Шквал,Круизная,Дракон,Капитан,Нет,Дальний Восток,Залив Анива,Корсаков,1,9 м,5,Нет,,1,21500,5,https://searadar.com/uploads/boats/crop/1200/675/b34/77/47249-1559689-oceanis-301-lima.jpg
Серебряный век,Круизная,Картер 30,Капитан и помощник,Нет,Дальний Восток,Залив Анива,Корсаков,2,9 м,6,1,,1,24000,4,https://searadar.com/uploads/boats/crop/1200/675/946/45/50205-1729732-oceanis-34-aquamarine.jpg
Odyssey,Круизная,Lagoon 620,Капитан и помощник,Да,Дальний Восток,Залив Анива,Корсаков,6,19 м,11,3,,1,50500,5,https://searadar.com/uploads/boats/crop/1200/675/d9c/c5/51564-1590567-aquila-32-sport-aquilotto.jpeg
Кальдера,Круизная,Л-6,Капитан,Нет,Дальний Восток,Курильские острова,Южно-Курильск,3,11 м,6,1,,1,27500,4,https://searadar.com/uploads/boats/crop/1200/675/44e/81/38749-1815527-oceanis-34-marilou.jpg
Вега,Круизная,Beneteau First 31.7,Капитан и помощник,Нет,Дальний Восток,Курильские острова,Южно-Курильск,3,10 м,6,1,,1,25500,3,https://searadar.com/uploads/boats/crop/1200/675/000/ab/3673-1565452-first-35-scorpio.jpg
Endeavour,Круизная,Nauticat 515,Капитан и помощник,Да,Дальний Восток,Курильские острова,Южно-Курильск,4,16 м,9,2,,1,40500,3,https://searadar.com/uploads/boats/crop/1200/675/a97/ec/51608-1607276-oceanis-34-smyrna.jpeg
Circe,Круизная,Опал 3,Капитан,Нет,Дальний Восток,Курильские острова,Южно-Курильск,1,8 м,4,1,,1,18000,4,https://searadar.com/uploads/boats/crop/1200/675/35e/62/22311-1782896-sun-loft-47-fragon.jpg
Пилигрим,Круизная,Nimbus 405 Coupe,Капитан,Да,Дальний Восток,Залив Терпения,Поронайск,3,13 м,7,1,,1,28000,4,https://searadar.com/uploads/boats/crop/1200/675/64e/52/52789-1799430-antares-9-bella-vista.jpg
Варяг,Круизная,Нева,Капитан и помощник,Нет,Дальний Восток,Залив Терпения,Поронайск,3,9 м,6,Нет,,1,22000,3,https://searadar.com/uploads/boats/crop/1200/675/b92/6e/59523-1722397-sun-loft-47-new-horizons.jpg
Стаксель,Круизная,Lagoon 42,Капитан,Да,Дальний Восток,Залив Терпения,Поронайск,3,13 м,8,1,,1,32000,4,https://searadar.com/uploads/boats/crop/1200/675/592/19/51253-1740129-aquila-44-adriatic-z.jpg
True North,Круизная,Galeon 425 HTS,Капитан и помощник,Да,Дальний Восток,Залив Терпения,Поронайск,4,13 м,8,2,,1,34000,5,https://searadar.com/uploads/boats/crop/1200/675/07a/51/52790-1770645-antares-9-bella-vista.jpg
Галс,Круизная,Конрад 24,Капитан,Нет,Дальний Восток,Залив Петра Великого,Славянка,1,8 м,5,Нет,,1,17500,4,https://searadar.com/uploads/boats/crop/1200/675/740/00/3515-1601236-sun-odyssey-319-amathea.jpg
Ладья,Круизная,Конрад 24,Капитан,Нет,Дальний Восток,Залив Петра Великого,Славянка,2,8 м,5,Нет,,1,17500,4,https://searadar.com/uploads/boats/crop/1200/675/e51/00/61041-1878212-sun-odyssey-32i-carmen.jpg
Норд-Ост,Круизная,Опал 3,Капитан,Нет,Дальний Восток,Залив Петра Великого,Славянка,2,8 м,5,Нет,,1,16500,3,https://searadar.com/uploads/boats/crop/1200/675/723/a2/61038-1878182-sun-odyssey-32i-carmen.jpg
Морти,Круизная,Bavaria 45,Капитан,Да,Дальний Восток,Амурский залив,Владивосток,5,15 м,10,2,,1,35000,5,https://searadar.com/uploads/boats/crop/1200/675/784/d7/50969-1866984-bavaria-34-cruiser-skippy.jpeg
Рик,Круизная,Bavaria 45,Капитан,Да,Дальний Восток,Амурский залив,Владивосток,5,15 м,10,2,,1,35000,5,https://searadar.com/uploads/boats/crop/1200/675/605/15/49733-1686053-bavaria-34-taz.jpeg
Косатка,Круизная,Нева,Капитан и помощник,Нет,Дальний Восток,Амурский залив,Владивосток,3,9 м,6,Нет,,1,21000,3,https://searadar.com/uploads/boats/crop/1200/675/02e/3c/494-1567240-sun-odyssey-32-i-regina-iv.jpg
Компас,Круизная,Beneteau Oceanis 45,Капитан и помощник,Да,Дальний Восток,Амурский залив,Владивосток,5,14 м,10,2,,1,36000,3,https://searadar.com/uploads/boats/crop/1200/675/522/e3/3670-1558293-first-35-taurus.jpg
Скиталец,Круизная,Нева,Капитан,Нет,Дальний Восток,Залив Находка,Находка,3,9 м,6,Нет,,1,21500,5,https://searadar.com/uploads/boats/crop/1200/675/bbc/54/5097-1824150-sun-odyssey-33i-britannia.jpg
Медуза,Круизная,Л-6,Капитан,Нет,Дальний Восток,Залив Находка,Находка,3,11 м,7,1,,1,25500,5,https://searadar.com/uploads/boats/crop/1200/675/61d/53/2271-1846418-sun-odyssey-33i-carry-on.jpg
Меридиан,Круизная,Jongert 24T,Капитан и помощник,Да,Дальний Восток,Залив Находка,Находка,7,24 м,14,3,,1,53000,4,https://searadar.com/uploads/boats/crop/1200/675/c15/45/59492-1727486-atlantis-47-ht-seven.jpg
Serenity,Круизная,Полутонник,Капитан,Нет,Азовское море,Ейский лиман,Ейск,3,10 м,6,1,,1,14500,3,https://searadar.com/uploads/boats/crop/1200/675/ca0/06/5091-1820127-sun-odyssey-33i-maxima.jpg
Bora,Круизная,Полутонник,Капитан,Нет,Азовское море,Ейский лиман,Ейск,3,10 м,6,Нет,,1,15500,4,https://searadar.com/uploads/boats/crop/1200/675/2d1/df/59700-1808214-sun-odyssey-349-3-cab-sarita.jpg
Wind Chaser,Круизная,Dehler 29,Капитан,Нет,Азовское море,Ейский лиман,Ейск,3,9 м,6,Нет,,1,15500,4,https://searadar.com/uploads/boats/crop/1200/675/8b9/c4/59826-1851952-sun-odyssey-349-3-cab-sweet-elli.jpg
Aurora Borealis,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Азовское море,Таганрогский залив,Таганрог,4,14 м,9,2,,1,25500,5,https://searadar.com/uploads/boats/crop/1200/675/f76/86/3931-1847727-bavaria-35-cruiser-alba.jpg
Wanderer,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Азовское море,Таганрогский залив,Таганрог,3,14 м,9,1,,1,24000,4,https://searadar.com/uploads/boats/crop/1200/675/744/8a/2460-1610985-bavaria-36-altair.jpg
