Название,Тип лодки,Тип Яхты,Команда,Добавить повара,Регион,Порт,Каюты,Длина,Места для гостей,Туалет ,Стоимость за день,Состояние,Фото
Ангара,Круизная,Bavaria 32,Капитан,Нет,Цимлянское море,Волгодонск,3,10 м,6,Нет,15500,3,https://upload.wikimedia.org/wikipedia/commons/4/43/%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE%D1%80_2001.jpg
Уда,Круизная,Amel 64,Капитан и помощник,Да,Цимлянское море,Волгодонск,5,20 м,13,3,41000,5,https://upload.wikimedia.org/wikipedia/commons/e/e8/%D0%AF%D0%BD%D1%82%D0%B0%D1%80%D0%B8_92.jpg
Бирюса,Круизная,Ассоль,Капитан,Нет,Цимлянское море,Волгодонск,2,8 м,5,Нет,13500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg
Чусовая,Круизная,Конрад 24,Капитан,Нет,Камское море,Пермь,2,8 м,6,1,16000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg/1280px-176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg
Вишера,Круизная,Elan Impression 40,Капитан,Да,Камское море,Пермь,3,12 м,7,2,19500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Anlegestelle_in_Listvyanka.jpg/1280px-Anlegestelle_in_Listvyanka.jpg
Сылва,Круизная,Botnia Targa 37,Капитан,Да,Камское море,Пермь,2,12 м,6,1,18000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg/1280px-Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg
Косьва,Круизная,Судоход 88,Капитан и помощник,Да,Камское море,Пермь,6,17 м,12,2,35000,3,https://upload.wikimedia.org/wikipedia/commons/1/1c/Ship_in_Oktyabrsky.jpg
Яйва,Моторная,Botnia Targa 32,Капитан,Нет,Камское море,Пермь,2,10 м,6,Нет,16500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Yaht_Peter_Pervy_M25A0153.jpg/1280px-Yaht_Peter_Pervy_M25A0153.jpg
Иньва,Круизная,Ассоль,Капитан,Нет,Воткинское водохранилище,Чайковский,2,8 м,4,Нет,11000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg
Обва,Круизная,Рикошет 747,Капитан,Нет,Воткинское водохранилище,Чайковский,1,8 м,4,Нет,11000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Хопёр,Круизная,Дракон,Капитан,Нет,Воткинское водохранилище,Чайковский,3,9 м,6,Нет,18500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Медведица,Круизная,Четвертьтонник,Капитан и помощник,Нет,Нижнекамское водохранилище,Набережные Челны,1,8 м,5,Нет,13500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Peterson_25.JPG/1280px-Peterson_25.JPG
Маныч,Круизная,Гидра 26,Капитан,Нет,Нижнекамское водохранилище,Набережные Челны,1,8 м,4,Нет,11500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
Аксай,Круизная,Полутонник,Капитан и помощник,Нет,Нижнекамское водохранилище,Набережные Челны,4,10 м,7,1,21500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Сал,Круизная,Lagoon 620,Капитан и помощник,Да,Псковское озеро,Псков,6,19 м,11,2,34500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Чир,Круизная,Hallberg-Rassy 64,Капитан и помощник,Да,Псковское озеро,Псков,5,20 м,11,2,34500,5,https://upload.wikimedia.org/wikipedia/commons/2/22/%D0%90%D0%BB%D1%8C%D0%B1%D0%B0%D1%82%D1%80%D0%BE%D1%81%D1%8B_%D0%BD%D0%B0_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B5.jpg
Донец,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Псковское озеро,Псков,4,14 м,9,2,25500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg/1280px-%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg
Уссури,Круизная,Lagoon 620,Капитан и помощник,Да,Чудское озеро,Гдов,5,19 м,13,2,40500,5,https://upload.wikimedia.org/wikipedia/commons/8/81/%D0%AF%D1%85%D1%82%D0%B0_%22%D0%92%D0%B8%D0%B3%D1%80%D0%B8%22%2C_RUS_1226.jpg
Бурея,Круизная,Л-6,Капитан,Нет,Чудское озеро,Гдов,4,11 м,7,1,19500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg
Хинган,Круизная,Опал 3,Капитан,Нет,Чудское озеро,Гдов,3,8 м,6,Нет,15500,3,https://upload.wikimedia.org/wikipedia/commons/a/aa/Admiral_nevelskoi_yacht.jpg
Анюй,Круизная,Дракон,Капитан,Нет,Озеро Селигер,Осташков,2,9 м,6,Нет,18500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Catamaran_m761.jpg/1280px-Catamaran_m761.jpg
Хехцир,Круизная,Картер 30,Капитан,Нет,Озеро Селигер,Осташков,3,9 м,6,Нет,18500,4,https://upload.wikimedia.org/wikipedia/commons/8/89/GRINDA_2010.jpg
Тунгуска,Круизная,Hanse 415,Капитан,Да,Озеро Селигер,Осташков,3,12 м,8,1,26500,5,https://upload.wikimedia.org/wikipedia/commons/6/63/Princess57_%284949873489%29.jpg
Амгунь,Круизная,Гидра 26,Капитан,Нет,Озеро Селигер,Осташков,1,8 м,4,1,12000,4,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sortavala_harbour.jpg
Таймень,Моторная,Princess V50,Капитан и помощник,Да,Озеро Селигер,Осташков,4,15 м,9,2,27000,3,https://upload.wikimedia.org/wikipedia/commons/2/2d/Yacht_Sierra_in_Strogino_2024.jpg
Ленок,Круизная,Л-6,Капитан и помощник,Нет,Валдайское озеро,Валдай,4,11 м,8,Нет,25000,4,https://upload.wikimedia.org/wikipedia/commons/b/bf/%D0%91%D0%B5%D0%BB%D0%BE%D0%B5_%D0%BC%D0%BE%D1%80%D0%B5_76.jpg
Хариус,Круизная,Botnia Targa 37,Капитан,Да,Валдайское озеро,Валдай,3,12 м,6,1,17500,3,https://upload.wikimedia.org/wikipedia/commons/8/80/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B004.jpg
Нельма,Круизная,Рикошет 747,Капитан,Нет,Валдайское озеро,Валдай,2,8 м,5,Нет,16000,5,https://upload.wikimedia.org/wikipedia/commons/d/d9/%D0%9C%D0%B5%D0%B2%D1%8B_%D0%BD%D0%B0_%D0%90%D0%B7%D0%BE%D0%B2%D0%B5.jpg
Муксун,Круизная,Рикошет 747,Капитан,Нет,Телецкое озеро,Артыбаш,2,8 м,5,Нет,17500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kazan_River_port_area_08-2016_img1.jpg/1280px-Kazan_River_port_area_08-2016_img1.jpg
Пелядь,Круизная,Jongert 24T,Капитан и помощник,Да,Телецкое озеро,Артыбаш,8,24 м,16,4,63500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg/1280px-Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg
Сиг,Круизная,Nimbus 405 Coupe,Капитан,Да,Телецкое озеро,Артыбаш,4,13 м,9,2,33000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Taganrog._Yacht_club_and_port_P4300007_2350.jpg/1280px-Taganrog._Yacht_club_and_port_P4300007_2350.jpg
Стерлядь,Круизная,Alubat Ovni 435,Капитан,Да,Угличское водохранилище,Углич,4,13 м,8,2,22500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg/1280px-Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg
Осётр,Круизная,Jeanneau Sun Odyssey 410,Капитан,Да,Угличское водохранилище,Углич,3,12 м,7,2,19500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Yacht_club_Petrovskaya_kosa_9.jpg/1280px-Yacht_club_Petrovskaya_kosa_9.jpg
Судак,Круизная,Bavaria 32,Капитан,Нет,Угличское водохранилище,Углич,3,10 м,6,Нет,17500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg/1280px-%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg
Жерех,Круизная,Dufour 460 Grand Large,Капитан и помощник,Да,Чебоксарское водохранилище,Чебоксары,4,14 м,10,2,28500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg/1280px-%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg
Голавль,Круизная,Alubat Ovni 435,Капитан,Да,Чебоксарское водохранилище,Чебоксары,3,13 м,9,1,25500,3,https://upload.wikimedia.org/wikipedia/commons/4/43/%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE%D1%80_2001.jpg
Язь,Круизная,Nauticat 515,Капитан и помощник,Да,Чебоксарское водохранилище,Чебоксары,4,16 м,10,2,32500,5,https://upload.wikimedia.org/wikipedia/commons/e/e8/%D0%AF%D0%BD%D1%82%D0%B0%D1%80%D0%B8_92.jpg
Чехонь,Круизная,Четвертьтонник,Капитан,Нет,Саратовское водохранилище,Самара,2,8 м,5,1,13500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg
Соболь,Круизная,Botnia Targa 32,Капитан,Нет,Саратовское водохранилище,Самара,2,10 м,6,Нет,17500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg/1280px-176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg
Марал,Круизная,Lagoon 42,Капитан,Да,Саратовское водохранилище,Самара,3,13 м,7,1,21000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Anlegestelle_in_Listvyanka.jpg/1280px-Anlegestelle_in_Listvyanka.jpg
Изюбрь,Круизная,Nauticat 515,Капитан и помощник,Да,Саратовское водохранилище,Самара,5,16 м,10,2,30500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg/1280px-Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg
Росомаха,Моторная,Botnia Targa 37,Капитан,Да,Саратовское водохранилище,Самара,3,12 м,7,2,21000,4,https://upload.wikimedia.org/wikipedia/commons/1/1c/Ship_in_Oktyabrsky.jpg
Выдра,Круизная,Конрад 25RT,Капитан,Нет,Волгоградское водохранилище,Волгоград,4,9 м,7,Нет,21500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Yaht_Peter_Pervy_M25A0153.jpg/1280px-Yaht_Peter_Pervy_M25A0153.jpg
Бобр,Круизная,Elan Impression 40,Капитан и помощник,Да,Волгоградское водохранилище,Волгоград,4,12 м,8,2,24000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg
Кедровка,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Волгоградское водохранилище,Волгоград,5,14 м,10,3,30000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Кедр,Моторная,Azimut 43,Капитан,Да,Волгоградское водохранилище,Волгоград,4,13 м,9,3,27000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Пихта,Круизная,Elan Impression 40,Капитан,Да,Горьковское водохранилище,Нижний Новгород,4,12 м,7,2,19500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Peterson_25.JPG/1280px-Peterson_25.JPG
Лиственница,Круизная,Swan 65,Капитан и помощник,Да,Горьковское водохранилище,Нижний Новгород,6,20 м,12,3,38000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
Багульник,Круизная,Конрад 24,Капитан,Нет,Горьковское водохранилище,Нижний Новгород,1,8 м,4,Нет,11500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Жарки,Круизная,Л-6,Капитан,Нет,Рыбинское водохранилище,Ярославль,4,11 м,7,Нет,19500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Саранка,Круизная,Galeon 425 HTS,Капитан,Да,Рыбинское водохранилище,Ярославль,3,13 м,7,1,19500,3,https://upload.wikimedia.org/wikipedia/commons/2/22/%D0%90%D0%BB%D1%8C%D0%B1%D0%B0%D1%82%D1%80%D0%BE%D1%81%D1%8B_%D0%BD%D0%B0_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B5.jpg
