Название,Тип Яхты,Команда,Добавить повара,Регион,Порт,Каюты,Длина,Места для гостей,Туалет ,Стоимость за день,Состояние,Фото
Корга,Bavaria Cruiser 46,Капитан и помощник,Да,Двинская губа,Архангельск,4,14 м,9,3,30000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg/1280px-%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg
Andromeda,Dufour 460 Grand Large,Капитан и помощник,Да,Двинская губа,Архангельск,4,14 м,9,2,31500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg/1280px-%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg
Кабельтов,Дракон,Капитан,Нет,Двинская губа,Архангельск,2,9 м,5,Нет,17000,4,https://upload.wikimedia.org/wikipedia/commons/4/43/%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE%D1%80_2001.jpg
Gulf Stream,Конрад 24,Капитан,Нет,Кольский залив,Мурманск,2,8 м,5,Нет,18000,3,https://upload.wikimedia.org/wikipedia/commons/e/e8/%D0%AF%D0%BD%D1%82%D0%B0%D1%80%D0%B8_92.jpg
Far Horizon,Elan Impression 40,Капитан,Да,Кольский залив,Мурманск,3,12 м,7,2,27500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg
Метель,Dehler 29,Капитан,Нет,Кольский залив,Мурманск,4,9 м,7,Нет,25500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg/1280px-176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg
Вест,Дракон,Капитан и помощник,Нет,Кольский залив,Мурманск,3,9 м,6,Нет,22000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Anlegestelle_in_Listvyanka.jpg/1280px-Anlegestelle_in_Listvyanka.jpg
Янтарь,Alubat Ovni 435,Капитан,Да,Баренцево море,Териберка,4,13 м,7,3,28500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg/1280px-Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg
Бриз,Конрад 24,Капитан,Нет,Баренцево море,Териберка,2,8 м,5,1,21000,4,https://upload.wikimedia.org/wikipedia/commons/1/1c/Ship_in_Oktyabrsky.jpg
Cygnus,Рикошет 747,Капитан,Нет,Баренцево море,Териберка,2,8 м,5,1,21000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Yaht_Peter_Pervy_M25A0153.jpg/1280px-Yaht_Peter_Pervy_M25A0153.jpg
Крачка,Beneteau First 31.7,Капитан и помощник,Нет,Баренцево море,Териберка,3,10 м,6,Нет,27000,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg
Штурвал,Нева,Капитан,Нет,Печорское море,Нарьян-Мар,3,9 м,6,1,24500,3,https://static.tildacdn.com/tild3163-6436-4461-b630-333533373061/Photo_21052021_19_55.jpg
Barracuda,Dufour 460 Grand Large,Капитан и помощник,Да,Печорское море,Нарьян-Мар,4,14 м,8,2,38500,5,https://static.tildacdn.com/tild6266-3762-4766-b939-303630376638/_DSC1609.jpg
Nautilus,Дракон,Капитан,Нет,Печорское море,Нарьян-Мар,2,9 м,6,Нет,26000,4,https://static.tildacdn.com/tild3335-3634-4266-b932-383262303338/DSC09472.jpg
Аврора,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Печорское море,Нарьян-Мар,4,14 м,9,2,40500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Triton,Четвертьтонник,Капитан,Нет,Карское море,Диксон,2,8 м,5,Нет,23000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Бакштаг,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Карское море,Диксон,3,14 м,9,1,41000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Peterson_25.JPG/1280px-Peterson_25.JPG
Шхера,Dehler 29,Капитан,Нет,Карское море,Диксон,1,9 м,5,1,23500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
Silver Lining,Dufour 460 Grand Large,Капитан и помощник,Да,Карское море,Диксон,4,14 м,8,3,39000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Баклан,Jeanneau Sun Odyssey 410,Капитан,Да,Анадырский залив,Анадырь,3,12 м,7,1,32500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Tenacity,Botnia Targa 37,Капитан и помощник,Да,Анадырский залив,Анадырь,4,12 м,7,2,34500,4,https://upload.wikimedia.org/wikipedia/commons/2/22/%D0%90%D0%BB%D1%8C%D0%B1%D0%B0%D1%82%D1%80%D0%BE%D1%81%D1%8B_%D0%BD%D0%B0_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B5.jpg
Drifter,Galeon 425 HTS,Капитан и помощник,Да,Анадырский залив,Анадырь,4,13 м,7,2,35000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg/1280px-%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg
Шхуна,Botnia Targa 32,Капитан,Нет,Анадырский залив,Анадырь,4,10 м,7,1,34000,4,https://upload.wikimedia.org/wikipedia/commons/8/81/%D0%AF%D1%85%D1%82%D0%B0_%22%D0%92%D0%B8%D0%B3%D1%80%D0%B8%22%2C_RUS_1226.jpg
Гейзер,Nauticat 515,Капитан и помощник,Да,Берингово море,Провидения,3,16 м,9,1,47500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg
Mistral,Дракон,Капитан и помощник,Нет,Берингово море,Провидения,2,9 м,5,Нет,25000,4,https://upload.wikimedia.org/wikipedia/commons/a/aa/Admiral_nevelskoi_yacht.jpg
Leviathan,Elan Impression 40,Капитан,Да,Берингово море,Провидения,4,12 м,8,2,41000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Catamaran_m761.jpg/1280px-Catamaran_m761.jpg
Рябина,Конрад 24,Капитан,Нет,Берингово море,Провидения,2,8 м,5,1,23000,3,https://upload.wikimedia.org/wikipedia/commons/8/89/GRINDA_2010.jpg
Hydra,Beneteau Oceanis 45,Капитан и помощник,Да,Командорские острова,Никольское,3,14 м,9,1,48000,4,https://upload.wikimedia.org/wikipedia/commons/6/63/Princess57_%284949873489%29.jpg
Meltemi,Dehler 29,Капитан,Нет,Командорские острова,Никольское,3,9 м,6,Нет,29000,3,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sortavala_harbour.jpg
Прибой,Hanse 415,Капитан,Да,Командорские острова,Никольское,4,12 м,7,2,34500,3,https://upload.wikimedia.org/wikipedia/commons/2/2d/Yacht_Sierra_in_Strogino_2024.jpg
Бейдевинд,Полутонник,Капитан,Нет,Командорские острова,Никольское,3,10 м,6,Нет,31000,4,https://upload.wikimedia.org/wikipedia/commons/b/bf/%D0%91%D0%B5%D0%BB%D0%BE%D0%B5_%D0%BC%D0%BE%D1%80%D0%B5_76.jpg
Liberty,McGregor 65,Капитан и помощник,Да,Камчатка,Фриза,6,22 м,8,1,30000,4,https://static.tildacdn.com/tild3335-3634-4266-b932-383262303338/DSC09472.jpg
Iron Lady,Судоход 115,Капитан и помощник,Да,Камчатка,Фриза,8,28 м,16,2,64000,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg/1280px-%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg
Гранит,Дракон,Капитан,Нет,Камчатка,Фриза,3,9 м,6,Нет,29000,5,https://upload.wikimedia.org/wikipedia/commons/8/80/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B004.jpg
Треска,Дракон,Капитан,Нет,Камчатка,Фриза,4,9 м,7,Нет,29500,3,https://upload.wikimedia.org/wikipedia/commons/d/d9/%D0%9C%D0%B5%D0%B2%D1%8B_%D0%BD%D0%B0_%D0%90%D0%B7%D0%BE%D0%B2%D0%B5.jpg
Русич,Гидра 26,Капитан и помощник,Нет,Авачинская губа,Петропавловск-Камчатский,2,8 м,5,Нет,21500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kazan_River_port_area_08-2016_img1.jpg/1280px-Kazan_River_port_area_08-2016_img1.jpg
Помор,Swan 65,Капитан и помощник,Да,Авачинская губа,Петропавловск-Камчатский,5,20 м,12,3,56500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg/1280px-Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg
Dauntless,McGregor 65,Капитан и помощник,Да,Авачинская губа,Петропавловск-Камчатский,5,22 м,13,2,66000,5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Taganrog._Yacht_club_and_port_P4300007_2350.jpg/1280px-Taganrog._Yacht_club_and_port_P4300007_2350.jpg
Sailfish,Конрад 24,Капитан,Нет,Авачинская губа,Петропавловск-Камчатский,2,8 м,4,1,17500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg/1280px-Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg
Салма,Судоход 88,Капитан и помощник,Да,Охотское море,Магадан,5,17 м,12,3,53500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Yacht_club_Petrovskaya_kosa_9.jpg/1280px-Yacht_club_Petrovskaya_kosa_9.jpg
Сириус,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Охотское море,Магадан,4,14 м,9,2,37000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg/1280px-%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg
Луда,Alubat Ovni 435,Капитан,Да,Охотское море,Магадан,4,13 м,7,2,30500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg/1280px-%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg
Blue Hour,Beneteau First 31.7,Капитан,Нет,Охотское море,Магадан,2,10 м,5,1,20000,3,https://upload.wikimedia.org/wikipedia/commons/4/43/%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE%D1%80_2001.jpg
White Squall,Hanse 445,Капитан,Да,Шантарские острова,Чумикан,3,13 м,7,1,33500,4,https://upload.wikimedia.org/wikipedia/commons/e/e8/%D0%AF%D0%BD%D1%82%D0%B0%D1%80%D0%B8_92.jpg
Поморник,Bavaria Cruiser 46,Капитан и помощник,Да,Шантарские острова,Чумикан,4,14 м,8,2,36500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg
